nd2_path,nd2_relpath,filename,stem,num_channels,channel_names,channel_source,stains,metadata_error
/Volumes/MannySSD/rw/6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec left org.nd2,6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec left org.nd2,6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec left org.nd2,6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec left org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec right org.nd2,6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec right org.nd2,6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec right org.nd2,6.23 Lhx6 Sox2 E2P2 DIV 18 Slide 3 mid sec right org,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4rwE1P3 Lhx6 + Sox2 Slide 15 R2C2 left.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 15 R2C2 left.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 15 R2C2 left.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 15 R2C2 left,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4rwE1P3 Lhx6 + Sox2 Slide 4 DIV 23 R1C2 middle.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 DIV 23 R1C2 middle.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 DIV 23 R1C2 middle.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 DIV 23 R1C2 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4rwE1P3 Lhx6 + Sox2 Slide 4 Left section right organoid.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 Left section right organoid.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 Left section right organoid.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 Left section right organoid,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4rwE1P3 Lhx6 + Sox2 Slide 4 R1C1 middle.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 R1C1 middle.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 R1C1 middle.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 4 R1C1 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4rwE1P3 Lhx6 + Sox2 Slide 7 DIV 23 R1C2 left.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 7 DIV 23 R1C2 left.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 7 DIV 23 R1C2 left.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 7 DIV 23 R1C2 left,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4rwE1P3 Lhx6 + Sox2 Slide 7 left R2C2.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 7 left R2C2.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 7 left R2C2.nd2,6.4rwE1P3 Lhx6 + Sox2 Slide 7 left R2C2,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4sp E1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section top organoid.nd2,6.4sp E1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section top organoid.nd2,6.4sp E1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section top organoid.nd2,6.4sp E1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section top organoid,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 18 middle section row 2 right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 18 middle section row 2 right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 18 middle section row 2 right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 18 middle section row 2 right,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
